S&P 500 High Tracker Snapshot
Data Date: 2025-12-26
Generated: 2026-01-31 08:58:40 UTC
Total stocks: 503
================================================================================

| Ticker   | Name                            |   Price |   Market Cap (B) |   52W High |   % From 52W High |   All-Time High |   % From ATH | At 52W High   | At ATH   |
|----------|---------------------------------|---------|------------------|------------|-------------------|-----------------|--------------|---------------|----------|
| EA       | Electronic Arts Inc.            |  204.79 |            51.00 |     204.84 |             -0.02 |          204.84 |        -0.02 | True          | True     |
| NDAQ     | Nasdaq, Inc.                    |   99.35 |            55.60 |      99.42 |             -0.07 |           99.42 |        -0.07 | True          | True     |
| TPR      | Tapestry, Inc.                  |  131.30 |            26.27 |     131.40 |             -0.08 |          131.40 |        -0.08 | True          | True     |
| COF      | Capital One Financial Corporati |  249.32 |           139.18 |     249.73 |             -0.16 |          249.73 |        -0.16 | True          | True     |
| MS       | Morgan Stanley                  |  180.87 |           290.53 |     181.34 |             -0.26 |          181.34 |        -0.26 | True          | True     |
| CRH      | CRH PLC                         |  128.94 |            81.82 |     129.28 |             -0.26 |          129.28 |        -0.26 | True          | True     |
| USB      | U.S. Bancorp                    |   54.46 |            87.25 |      54.62 |             -0.29 |           54.62 |        -0.29 | True          | True     |
| TKO      | TKO Group Holdings, Inc.        |  217.44 |            16.64 |     218.11 |             -0.31 |          218.11 |        -0.31 | True          | True     |
| PNC      | PNC Financial Services Group, I |  212.26 |            90.28 |     212.96 |             -0.33 |          212.96 |        -0.33 | True          | True     |
| MAR      | Marriott International          |  315.58 |            85.59 |     316.69 |             -0.35 |          316.69 |        -0.35 | True          | True     |
| FOX      | Fox Corporation                 |   65.42 |            30.88 |      65.66 |             -0.37 |           65.66 |        -0.37 | True          | True     |
| SCHW     | Charles Schwab Corporation (The |  101.89 |           188.64 |     102.28 |             -0.38 |          102.28 |        -0.38 | True          | True     |
| CB       | Chubb Limited                   |  313.47 |           123.42 |     314.68 |             -0.38 |          314.68 |        -0.38 | True          | True     |
| JBL      | Jabil Inc.                      |  236.11 |            25.34 |     237.05 |             -0.39 |          237.05 |        -0.39 | True          | True     |
| FOXA     | Fox Corporation                 |   74.30 |            32.31 |      74.63 |             -0.44 |           74.63 |        -0.44 | True          | True     |
| CFG      | Citizens Financial Group, Inc.  |   59.83 |            27.05 |      60.10 |             -0.45 |           60.10 |        -0.45 | True          | True     |
| TJX      | TJX Companies, Inc. (The)       |  157.11 |           166.73 |     157.83 |             -0.46 |          157.83 |        -0.46 | True          | True     |
| HLT      | Hilton Worldwide Holdings Inc.  |  293.48 |            70.21 |     294.92 |             -0.49 |          294.92 |        -0.49 | True          | True     |
| NEM      | Newmont Corporation             |  105.78 |           123.41 |     106.34 |             -0.53 |          106.34 |        -0.53 | True          | True     |
| STT      | State Street Corporation        |  131.42 |            36.55 |     132.13 |             -0.54 |          132.13 |        -0.54 | True          | True     |
| SYF      | Synchrony Financial             |   86.01 |            26.16 |      86.48 |             -0.54 |           86.48 |        -0.54 | True          | True     |
| KLAC     | KLA Corporation                 | 1279.60 |           188.04 |    1286.81 |             -0.56 |         1286.81 |        -0.56 | True          | True     |
| HWM      | Howmet Aerospace Inc.           |  211.22 |            83.75 |     212.52 |             -0.61 |          212.52 |        -0.61 | True          | True     |
| WFC      | Wells Fargo & Company           |   95.26 |           284.06 |      95.85 |             -0.62 |           95.85 |        -0.62 | True          | True     |
| FITB     | Fifth Third Bancorp             |   48.00 |            33.21 |      48.30 |             -0.62 |           48.30 |        -0.62 | True          | True     |
| BAC      | Bank of America Corporation     |   56.17 |           388.49 |      56.55 |             -0.67 |           56.55 |        -0.67 | True          | True     |
| RF       | Regions Financial Corporation   |   27.79 |            24.99 |      27.98 |             -0.68 |           27.98 |        -0.68 | True          | True     |
| SPG      | Simon Property Group, Inc.      |  187.71 |            72.16 |     189.05 |             -0.71 |          189.05 |        -0.71 | True          | True     |
| GM       | General Motors Company          |   83.06 |            78.36 |      83.68 |             -0.74 |           83.68 |        -0.74 | True          | True     |
| NTRS     | Northern Trust Corporation      |  140.14 |            28.26 |     141.25 |             -0.79 |          141.25 |        -0.79 | True          | True     |
| AME      | AMETEK, Inc.                    |  208.45 |            51.73 |     210.14 |             -0.80 |          210.14 |        -0.80 | True          | True     |
| JPM      | JP Morgan Chase & Co.           |  326.44 |           832.71 |     329.37 |             -0.89 |          329.37 |        -0.89 | True          | True     |
| GE       | GE Aerospace                    |  314.78 |           323.61 |     317.70 |             -0.92 |          317.70 |        -0.92 | True          | True     |
| LRCX     | Lam Research Corporation        |  178.07 |           293.23 |     179.80 |             -0.96 |          179.80 |        -0.96 | True          | True     |
| XOM      | Exxon Mobil Corporation         |  119.11 |           596.31 |     120.47 |             -1.13 |          120.87 |        -1.46 | True          | True     |
| HBAN     | Huntington Bancshares Incorpora |   17.74 |            27.53 |      17.95 |             -1.17 |           17.95 |        -1.17 | True          | True     |
| TRV      | The Travelers Companies, Inc.   |  292.12 |            63.46 |     295.68 |             -1.20 |          295.68 |        -1.20 | True          | True     |
| MNST     | Monster Beverage Corporation    |   77.31 |            78.90 |      78.31 |             -1.28 |           78.31 |        -1.28 | True          | True     |
| HIG      | The Hartford Insurance Group, I |  138.67 |            37.67 |     140.50 |             -1.30 |          140.50 |        -1.30 | True          | True     |
| GS       | Goldman Sachs Group, Inc. (The) |  907.04 |           283.17 |     919.10 |             -1.31 |          919.10 |        -1.31 | True          | True     |
| FCX      | Freeport-McMoRan, Inc.          |   52.91 |            86.49 |      53.64 |             -1.36 |           53.95 |        -1.93 | True          | True     |
| JCI      | Johnson Controls International  |  122.06 |            73.00 |     123.78 |             -1.39 |          123.78 |        -1.39 | True          | True     |
| CMI      | Cummins Inc.                    |  519.12 |            79.90 |     526.50 |             -1.40 |          526.50 |        -1.40 | True          | True     |
| DD       | DuPont de Nemours, Inc.         |   41.26 |            18.40 |      41.85 |             -1.41 |           41.85 |        -1.41 | True          | True     |
| WAB      | Westinghouse Air Brake Technolo |  219.31 |            39.34 |     222.47 |             -1.42 |          222.47 |        -1.42 | True          | True     |
| ULTA     | Ulta Beauty, Inc.               |  607.52 |            29.03 |     616.34 |             -1.43 |          616.34 |        -1.43 | True          | True     |
| AIZ      | Assurant, Inc.                  |  240.13 |            12.02 |     243.76 |             -1.49 |          243.76 |        -1.49 | True          | True     |
| MCO      | Moody's Corporation             |  520.04 |            92.47 |     527.90 |             -1.49 |          527.90 |        -1.49 | True          | True     |
| RTX      | RTX Corporation                 |  185.17 |           269.40 |     188.00 |             -1.51 |          188.00 |        -1.51 | True          | True     |
| BK       | The Bank of New York Mellon Cor |  116.95 |            83.63 |     118.87 |             -1.62 |          118.87 |        -1.62 | True          | True     |
| STLD     | Steel Dynamics, Inc.            |  174.95 |            26.43 |     177.84 |             -1.63 |          177.84 |        -1.63 | True          | True     |
| AXP      | American Express Company        |  380.21 |           242.59 |     386.63 |             -1.66 |          386.63 |        -1.66 | True          | True     |
| EXPE     | Expedia Group, Inc.             |  287.56 |            32.76 |     292.42 |             -1.66 |          292.42 |        -1.66 | True          | True     |
| EXPD     | Expeditors International of Was |  152.24 |            21.79 |     155.04 |             -1.81 |          155.04 |        -1.81 | True          | True     |
| IVZ      | Invesco Ltd                     |   26.96 |            12.15 |      27.48 |             -1.89 |           27.48 |        -1.89 | True          | True     |
| CHRW     | C.H. Robinson Worldwide, Inc.   |  164.63 |            23.03 |     167.90 |             -1.95 |          167.90 |        -1.95 | True          | True     |
| UAL      | United Airlines Holdings, Inc.  |  114.04 |            33.12 |     116.32 |             -1.96 |          116.32 |        -1.96 | True          | True     |
| FDX      | FedEx Corporation               |  296.33 |            76.04 |     296.64 |             -0.10 |          303.59 |        -2.39 | True          | False    |
| MRK      | Merck & Company, Inc.           |  106.78 |           275.43 |     107.05 |             -0.25 |          127.87 |       -16.49 | True          | False    |
| KEY      | KeyCorp                         |   21.19 |            23.72 |      21.25 |             -0.28 |           22.12 |        -4.19 | True          | False    |
| CRL      | Charles River Laboratories Inte |  203.66 |            10.36 |     204.47 |             -0.40 |          460.21 |       -55.75 | True          | False    |
| DG       | Dollar General Corporation      |  137.25 |            31.57 |     137.87 |             -0.45 |          245.55 |       -44.10 | True          | False    |
| MTB      | M&T Bank Corporation            |  207.28 |            34.62 |     208.26 |             -0.47 |          217.71 |        -4.79 | True          | False    |
| TFC      | Truist Financial Corporation    |   50.61 |            65.78 |      50.86 |             -0.49 |           56.29 |       -10.09 | True          | False    |
| SNA      | Snap-On Incorporated            |  354.00 |            19.10 |     356.07 |             -0.58 |          363.98 |        -2.74 | True          | False    |
| AIG      | American International Group, I |   86.48 |            41.48 |      87.29 |             -0.93 |         1224.78 |       -92.94 | True          | False    |
| REGN     | Regeneron Pharmaceuticals, Inc. |  784.97 |            78.58 |     792.77 |             -0.98 |         1204.52 |       -34.83 | True          | False    |
